Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20221028:0330,504.02,598.85,37.92,7.51,1.52,0.0
20221028:0430,601.27,735.31,41.07,9.58,1.1,0.0
20221028:0530,518.47,635.24,40.22,11.13,0.83,0.0
20221028:0630,295.78,361.22,35.55,12.01,0.55,0.0
20221028:0730,339.39,409.79,27.94,11.29,1.03,0.0
20221028:0830,253.56,311.63,18.35,11.7,1.03,0.0
20221028:0930,105.02,148.5,7.5,11.34,1.79,0.0
20221028:1030,0.0,0.0,-4.1,9.84,2.55,0.0
20221028:1130,0.0,0.0,0.0,7.45,2.76,0.0
20221028:1230,0.0,0.0,0.0,5.93,2.69,0.0
20221028:1330,0.0,0.0,0.0,5.24,2.34,0.0
20221028:1430,0.0,0.0,0.0,4.92,2.28,0.0
20221028:1530,0.0,0.0,0.0,4.68,2.14,0.0
20221028:1630,0.0,0.0,0.0,4.5,2.0,0.0
20221028:1730,0.0,0.0,0.0,4.4,1.79,0.0
20221028:1830,0.0,0.0,0.0,4.33,1.66,0.0
20221028:1930,0.0,0.0,0.0,3.48,1.86,0.0
20221028:2030,0.0,0.0,0.0,3.1,1.66,0.0
20221028:2130,0.0,0.0,0.0,3.0,1.38,0.0
20221028:2230,0.0,0.0,0.0,2.81,1.66,0.0
20221028:2330,0.0,2.45,0.81,2.3,1.45,0.0
20221029:0030,13.43,27.37,11.93,1.76,1.24,0.0
20221029:0130,39.11,59.3,22.3,1.77,0.83,0.0
20221029:0230,80.07,105.94,31.14,1.75,0.76,0.0
20221029:0330,193.77,231.94,37.61,2.01,0.76,0.0
20221029:0430,351.6,410.66,40.74,3.25,0.76,0.0
20221029:0530,221.73,266.58,39.89,5.2,0.62,0.0
20221029:0630,266.48,318.21,35.25,5.81,0.97,0.0
20221029:0730,226.48,271.37,27.67,6.22,1.24,0.0
20221029:0830,147.99,184.88,18.1,6.35,0.9,0.0
20221029:0930,34.16,56.4,7.28,6.38,0.9,0.0
20221029:1030,0.0,0.0,-4.31,6.06,1.31,0.0
20221029:1130,0.0,0.0,0.0,5.08,1.59,0.0
20221029:1230,0.0,0.0,0.0,3.79,1.66,0.0
20221029:1330,0.0,0.0,0.0,2.71,1.31,0.0
20221029:1430,0.0,0.0,0.0,2.41,0.76,0.0
20221029:1530,0.0,0.0,0.0,2.29,0.48,0.0
20221029:1630,0.0,0.0,0.0,2.02,0.48,0.0
20221029:1730,0.0,0.0,0.0,1.59,0.41,0.0
20221029:1830,0.0,0.0,0.0,1.2,0.34,0.0
20221029:1930,0.0,0.0,0.0,0.27,0.21,0.0
20221029:2030,0.0,0.0,0.0,-0.28,0.14,0.0
20221029:2130,0.0,0.0,0.0,-0.1,0.14,0.0
20221029:2230,0.0,0.0,0.0,-0.09,0.14,0.0
20221029:2330,1.19,8.26,0.62,-0.23,0.28,0.0
20221030:0030,46.24,67.38,11.72,-0.12,0.28,0.0
20221030:0130,239.61,282.33,22.06,1.28,0.21,0.0
20221030:0230,550.93,656.36,30.86,3.54,0.28,0.0
20221030:0330,682.41,836.79,37.3,6.08,0.62,0.0
20221030:0430,778.9,970.23,40.41,7.88,1.24,0.0
20221030:0530,740.66,908.73,39.57,9.31,2.0,0.0
20221030:0630,573.0,683.06,34.95,9.99,2.69,0.0
20221030:0730,392.86,463.49,27.4,9.51,2.9,0.0
20221030:0830,168.29,208.43,17.86,8.92,2.9,0.0
20221030:0930,60.32,90.0,7.07,7.83,3.93,0.0
20221030:1030,0.0,0.0,-4.51,6.26,3.93,0.0
20221030:1130,0.0,0.0,0.0,4.71,3.17,0.0
20221030:1230,0.0,0.0,0.0,3.88,2.48,0.0
20221030:1330,0.0,0.0,0.0,3.4,2.21,0.0
20221030:1430,0.0,0.0,0.0,2.36,1.79,0.0
20221030:1530,0.0,0.0,0.0,1.99,1.59,0.0
20221030:1630,0.0,0.0,0.0,1.31,1.31,0.0
20221030:1730,0.0,0.0,0.0,0.88,1.17,0.0
20221030:1830,0.0,0.0,0.0,0.44,0.41,0.0
20221030:1930,0.0,0.0,0.0,0.94,0.48,0.0
20221030:2030,0.0,0.0,0.0,0.68,0.0,0.0
20221030:2130,0.0,0.0,0.0,-0.09,0.48,0.0
20221030:2230,0.0,0.0,0.0,-0.47,0.41,0.0
20221030:2330,1.15,8.18,0.42,-0.49,0.41,0.0
20221031:0030,30.36,48.53,11.5,-0.5,0.34,0.0
20221031:0130,410.2,475.83,21.82,1.3,0.62,0.0
20221031:0230,640.44,761.32,30.59,3.58,1.17,0.0
20221031:0330,771.08,943.47,36.99,6.03,1.52,0.0
20221031:0430,816.79,1016.01,40.09,8.32,1.79,0.0
20221031:0530,797.91,999.82,39.24,10.31,1.79,0.0
20221031:0630,717.82,893.43,34.65,11.7,1.72,0.0
20221031:0730,578.73,708.76,27.13,12.55,1.72,0.0
20221031:0830,372.33,456.46,17.63,12.89,1.38,0.0
20221031:0930,123.91,173.38,6.86,12.66,1.72,0.0
20221031:1030,0.0,0.0,-4.7,10.68,2.69,0.0
20221031:1130,0.0,0.0,0.0,7.91,3.17,0.0
20221031:1230,0.0,0.0,0.0,5.9,3.1,0.0
20221031:1330,0.0,0.0,0.0,4.42,2.97,0.0
20221031:1430,0.0,0.0,0.0,3.39,2.83,0.0
20221031:1530,0.0,0.0,0.0,2.73,2.76,0.0
20221031:1630,0.0,0.0,0.0,2.2,2.69,0.0
20221031:1730,0.0,0.0,0.0,1.65,2.55,0.0
20221031:1830,0.0,0.0,0.0,1.0,2.28,0.0
20221031:1930,0.0,0.0,0.0,0.46,1.79,0.0
20221031:2030,0.0,0.0,0.0,1.14,1.31,0.0
20221031:2130,0.0,0.0,0.0,1.91,0.9,0.0
20221031:2230,0.0,0.0,0.0,1.55,0.69,0.0
20221031:2330,0.91,7.7,0.23,1.17,0.55,0.0
20221101:0030,33.81,52.95,11.29,0.93,0.48,0.0
20221101:0130,400.7,471.22,21.57,3.02,0.21,0.0
20221101:0230,604.98,739.98,30.31,6.43,0.21,0.0
20221101:0330,718.64,916.97,36.69,9.21,0.14,0.0
20221101:0430,776.72,1010.98,39.76,11.45,0.41,0.0
20221101:0530,774.08,1011.18,38.93,12.99,0.55,0.0
20221101:0630,700.52,899.54,34.36,13.93,0.69,0.0
20221101:0730,571.65,705.36,26.87,14.2,1.72,0.0
20221101:0830,369.65,451.75,17.4,14.05,2.55,0.0
20221101:0930,114.9,161.91,6.65,13.07,3.03,0.0
20221101:1030,0.0,0.0,-4.89,10.79,2.9,0.0
20221101:1130,0.0,0.0,0.0,8.46,2.76,0.0
20221101:1230,0.0,0.0,0.0,6.64,2.62,0.0
20221101:1330,0.0,0.0,0.0,5.25,2.41,0.0
20221101:1430,0.0,0.0,0.0,4.56,2.0,0.0
20221101:1530,0.0,0.0,0.0,4.76,1.79,0.0
20221101:1630,0.0,0.0,0.0,4.82,1.79,0.0
20221101:1730,0.0,0.0,0.0,4.65,1.52,0.0
20221101:1830,0.0,0.0,0.0,4.48,1.45,0.0
20221101:1930,0.0,0.0,0.0,5.14,2.48,0.0
20221101:2030,0.0,0.0,0.0,4.99,2.34,0.0
20221101:2130,0.0,0.0,0.0,4.87,2.21,0.0
20221101:2230,0.0,0.0,0.0,5.08,2.21,0.0
20221101:2330,0.0,3.32,0.04,4.97,1.86,0.0
20221102:0030,10.54,23.61,11.07,4.69,2.0,0.0
20221102:0130,40.4,61.29,21.33,4.17,2.83,0.0
20221102:0230,72.09,97.62,30.04,3.12,3.31,0.0
20221102:0330,94.69,121.76,36.39,2.29,3.79,0.0
20221102:0430,125.12,155.76,39.44,2.24,3.38,0.0
20221102:0530,167.37,202.07,38.61,2.54,2.69,0.0
20221102:0630,157.47,191.09,34.07,3.33,2.41,0.0
20221102:0730,142.09,175.16,26.62,4.22,2.34,0.0
20221102:0830,101.32,130.83,17.17,4.54,2.41,0.0
20221102:0930,60.62,90.37,6.45,4.46,2.41,0.0
20221102:1030,0.0,0.0,-5.07,4.11,2.0,0.0
20221102:1130,0.0,0.0,0.0,3.38,1.59,0.0
20221102:1230,0.0,0.0,0.0,3.05,1.31,0.0
20221102:1330,0.0,0.0,0.0,2.44,0.9,0.0
20221102:1430,0.0,0.0,0.0,1.93,0.48,0.0
20221102:1530,0.0,0.0,0.0,1.78,0.34,0.0
20221102:1630,0.0,0.0,0.0,1.38,0.48,0.0
20221102:1730,0.0,0.0,0.0,0.66,0.76,0.0
20221102:1830,0.0,0.0,0.0,0.53,0.69,0.0
20221102:1930,0.0,0.0,0.0,0.61,0.76,0.0
20221102:2030,0.0,0.0,0.0,0.82,0.48,0.0
20221102:2130,0.0,0.0,0.0,0.45,0.34,0.0
20221102:2230,0.0,0.0,0.0,0.3,0.48,0.0
20221102:2330,0.0,0.0,-0.16,-0.52,0.9,0.0
20221103:0030,17.91,33.14,10.86,0.26,0.76,0.0
20221103:0130,145.61,177.93,21.09,1.38,0.9,0.0
20221103:0230,218.04,257.79,29.77,1.76,0.48,0.0
20221103:0330,386.93,446.1,36.09,2.25,1.72,0.0
20221103:0430,625.82,727.91,39.13,3.6,2.55,0.0
20221103:0530,664.51,780.09,38.31,4.99,2.83,0.0
20221103:0630,471.74,550.32,33.79,5.96,2.83,0.0
20221103:0730,460.28,535.81,26.37,5.52,2.34,0.0
20221103:0830,336.66,396.75,16.95,5.88,2.41,0.0
20221103:0930,94.98,132.46,6.25,5.57,2.55,0.0
20221103:1030,0.0,0.0,-5.25,4.32,2.14,0.0
20221103:1130,0.0,0.0,0.0,2.79,2.41,0.0
20221103:1230,0.0,0.0,0.0,1.5,2.48,0.0
20221103:1330,0.0,0.0,0.0,0.65,2.14,0.0
20221103:1430,0.0,0.0,0.0,0.15,1.59,0.0
20221103:1530,0.0,0.0,0.0,-0.12,1.45,0.0
20221103:1630,0.0,0.0,0.0,-0.59,1.52,0.0
20221103:1730,0.0,0.0,0.0,-1.06,1.45,0.0
20221103:1830,0.0,0.0,0.0,-1.66,1.17,0.0
20221103:1930,0.0,0.0,0.0,-0.52,0.55,0.0
20221103:2030,0.0,0.0,0.0,-0.66,0.62,0.0
20221103:2130,0.0,0.0,0.0,-1.11,0.9,0.0
20221103:2230,0.0,0.0,0.0,-1.97,1.17,0.0
20221103:2330,0.0,0.0,-0.36,-2.86,1.59,0.0
20221104:0030,30.75,48.53,10.64,-2.76,1.72,0.0
20221104:0130,414.14,474.22,20.85,0.44,1.59,0.0
20221104:0230,546.34,632.81,29.5,2.91,2.0,0.0
20221104:0330,532.89,619.69,35.79,4.41,2.34,0.0
20221104:0430,489.36,570.27,38.82,5.24,2.21,0.0
20221104:0530,418.36,490.3,38.0,5.68,1.66,0.0
20221104:0630,498.41,589.85,33.51,6.24,1.24,0.0
20221104:0730,460.84,548.15,26.12,7.81,1.24,0.0
20221104:0830,328.89,393.97,16.74,7.7,1.24,0.0
20221104:0930,109.74,152.25,6.06,7.31,1.86,0.0
20221104:1030,0.0,0.0,0.0,5.83,1.79,0.0
20221104:1130,0.0,0.0,0.0,4.06,1.66,0.0
20221104:1230,0.0,0.0,0.0,2.19,1.66,0.0
20221104:1330,0.0,0.0,0.0,0.99,2.28,0.0
20221104:1430,0.0,0.0,0.0,0.12,2.41,0.0
20221104:1530,0.0,0.0,0.0,-0.64,2.34,0.0
20221104:1630,0.0,0.0,0.0,-1.3,2.14,0.0
20221104:1730,0.0,0.0,0.0,-1.85,1.93,0.0
20221104:1830,0.0,0.0,0.0,-1.73,1.59,0.0
20221104:1930,0.0,0.0,0.0,-1.52,1.45,0.0
20221104:2030,0.0,0.0,0.0,-0.8,1.17,0.0
20221104:2130,0.0,0.0,0.0,-0.52,0.83,0.0
20221104:2230,0.0,0.0,0.0,-0.76,0.48,0.0
20221104:2330,0.0,0.0,-0.55,-1.12,0.0,0.0
20221105:0030,41.36,61.39,10.43,-1.43,0.21,0.0
20221105:0130,232.68,274.01,20.61,0.51,0.14,0.0
20221105:0230,375.61,436.97,29.23,3.18,0.97,0.0
20221105:0330,609.38,724.53,35.49,5.35,1.59,0.0
20221105:0430,719.82,879.1,38.51,7.69,1.66,0.0
20221105:0530,777.14,974.97,37.7,9.62,1.38,0.0
20221105:0630,715.13,896.03,33.23,11.02,1.17,0.0
20221105:0730,574.66,706.25,25.88,11.97,1.24,0.0
20221105:0830,364.66,444.69,16.53,12.42,1.79,0.0
20221105:0930,114.45,161.49,5.88,11.92,1.52,0.0
20221105:1030,0.0,0.0,0.0,10.25,0.76,0.0
20221105:1130,0.0,0.0,0.0,7.02,1.31,0.0
20221105:1230,0.0,0.0,0.0,4.09,1.79,0.0
20221105:1330,0.0,0.0,0.0,2.53,1.72,0.0
20221105:1430,0.0,0.0,0.0,1.95,1.52,0.0
20221105:1530,0.0,0.0,0.0,1.59,1.38,0.0
20221105:1630,0.0,0.0,0.0,1.28,1.31,0.0
20221105:1730,0.0,0.0,0.0,1.35,1.24,0.0
20221105:1830,0.0,0.0,0.0,0.89,1.31,0.0
20221105:1930,0.0,0.0,0.0,-0.68,1.72,0.0
20221105:2030,0.0,0.0,0.0,-0.72,1.38,0.0
20221105:2130,0.0,0.0,0.0,-0.2,0.97,0.0
20221105:2230,0.0,0.0,0.0,0.07,0.9,0.0
20221105:2330,0.0,0.0,-0.75,0.32,1.03,0.0
20221106:0030,27.09,44.68,10.21,0.39,1.03,0.0
20221106:0130,80.3,105.99,20.37,1.09,1.17,0.0
20221106:0230,219.77,259.88,28.96,2.02,1.03,0.0
20221106:0330,468.33,548.96,35.2,3.81,1.03,0.0
20221106:0430,576.79,687.16,38.21,5.96,1.31,0.0
20221106:0530,559.25,666.65,37.41,7.44,1.66,0.0
20221106:0630,663.35,799.89,32.97,8.37,2.0,0.0
20221106:0730,559.34,667.67,25.65,9.29,2.28,0.0
20221106:0830,347.52,415.35,16.32,9.26,2.62,0.0
20221106:0930,99.81,141.26,5.7,8.54,2.9,0.0
20221106:1030,0.0,0.0,0.0,6.8,2.62,0.0
20221106:1130,0.0,0.0,0.0,4.99,2.41,0.0
20221106:1230,0.0,0.0,0.0,3.61,2.07,0.0
20221106:1330,0.0,0.0,0.0,2.09,1.66,0.0
20221106:1430,0.0,0.0,0.0,1.57,1.31,0.0
20221106:1530,0.0,0.0,0.0,2.31,0.97,0.0
20221106:1630,0.0,0.0,0.0,2.14,0.62,0.0
20221106:1730,0.0,0.0,0.0,1.95,0.48,0.0
20221106:1830,0.0,0.0,0.0,1.71,0.55,0.0
20221106:1930,0.0,0.0,0.0,1.43,0.69,0.0
20221106:2030,0.0,0.0,0.0,1.33,0.48,0.0
20221106:2130,0.0,0.0,0.0,1.06,0.34,0.0
20221106:2230,0.0,0.0,0.0,0.95,0.41,0.0
20221106:2330,0.0,0.0,-0.94,0.98,0.69,0.0
20221107:0030,28.07,46.0,10.0,0.99,0.83,0.0
20221107:0130,99.61,127.11,20.13,1.35,1.1,0.0
20221107:0230,255.19,297.97,28.7,2.77,2.14,0.0
20221107:0330,386.69,445.28,34.91,4.74,3.03,0.0
20221107:0430,488.79,567.66,37.91,6.34,3.03,0.0
20221107:0530,416.35,486.16,37.12,7.73,2.9,0.0
20221107:0630,336.51,396.28,32.7,8.53,2.83,0.0
20221107:0730,283.11,336.25,25.42,8.61,2.76,0.0
20221107:0830,119.05,153.17,16.12,8.91,3.03,0.0
20221107:0930,31.86,54.19,5.52,8.0,3.79,0.0
20221107:1030,0.0,0.0,0.0,6.46,3.72,0.0
20221107:1130,0.0,0.0,0.0,5.16,3.31,0.0
20221107:1230,0.0,0.0,0.0,4.06,3.1,0.0
20221107:1330,0.0,0.0,0.0,3.5,2.76,0.0
20221107:1430,0.0,0.0,0.0,3.06,2.62,0.0
20221107:1530,0.0,0.0,0.0,2.49,2.41,0.0
20221107:1630,0.0,0.0,0.0,2.19,2.14,0.0
20221107:1730,0.0,0.0,0.0,1.87,1.93,0.0
20221107:1830,0.0,0.0,0.0,1.77,1.72,0.0
20221107:1930,0.0,0.0,0.0,2.09,1.59,0.0
20221107:2030,0.0,0.0,0.0,1.73,1.31,0.0
20221107:2130,0.0,0.0,0.0,1.48,1.03,0.0
20221107:2230,0.0,0.0,0.0,1.48,0.83,0.0
20221107:2330,0.0,0.0,-1.14,1.15,0.69,0.0
20221108:0030,32.37,51.24,9.78,1.08,0.69,0.0
20221108:0130,261.7,305.95,19.9,1.69,1.03,0.0
20221108:0230,500.62,587.21,28.43,3.72,0.9,0.0
20221108:0330,687.99,840.53,34.63,6.72,1.03,0.0
20221108:0430,758.29,952.67,37.61,9.28,1.03,0.0
20221108:0530,728.06,931.19,36.83,11.0,0.48,0.0
20221108:0630,677.54,862.33,32.45,12.09,0.41,0.0
20221108:0730,541.27,675.77,25.19,12.77,0.28,0.0
20221108:0830,341.96,421.15,15.93,12.94,0.9,0.0
20221108:0930,93.44,136.06,5.35,12.52,1.52,0.0
20221108:1030,0.0,0.0,0.0,10.75,2.07,0.0
20221108:1130,0.0,0.0,0.0,8.43,2.07,0.0
20221108:1230,0.0,0.0,0.0,6.24,1.93,0.0
20221108:1330,0.0,0.0,0.0,4.35,1.79,0.0
20221108:1430,0.0,0.0,0.0,3.06,1.86,0.0
20221108:1530,0.0,0.0,0.0,2.23,1.79,0.0
20221108:1630,0.0,0.0,0.0,2.54,1.38,0.0
20221108:1730,0.0,0.0,0.0,3.31,1.31,0.0
20221108:1830,0.0,0.0,0.0,3.72,1.1,0.0
20221108:1930,0.0,0.0,0.0,3.66,0.97,0.0
20221108:2030,0.0,0.0,0.0,3.86,1.31,0.0
20221108:2130,0.0,0.0,0.0,3.96,1.24,0.0
20221108:2230,0.0,0.0,0.0,4.03,0.97,0.0
20221108:2330,0.0,0.0,-1.33,4.06,0.41,0.0
20221109:0030,22.2,39.18,9.57,4.14,0.62,0.0
20221109:0130,137.14,170.91,19.66,4.88,0.97,0.0
20221109:0230,241.8,288.9,28.17,5.59,0.76,0.0
20221109:0330,433.96,516.24,34.35,6.83,0.69,0.0
20221109:0430,598.08,730.24,37.32,8.49,0.69,0.0
20221109:0530,608.36,752.41,36.55,10.18,0.62,0.0
20221109:0630,674.18,860.12,32.19,11.31,0.14,0.0
20221109:0730,552.78,678.23,24.97,12.1,1.17,0.0
20221109:0830,345.06,420.94,15.74,12.55,1.86,0.0
20221109:0930,94.47,136.99,5.19,12.14,2.62,0.0
20221109:1030,0.0,0.0,0.0,10.1,2.83,0.0
20221109:1130,0.0,0.0,0.0,7.98,2.9,0.0
20221109:1230,0.0,0.0,0.0,6.34,2.83,0.0
20221109:1330,0.0,0.0,0.0,5.03,2.69,0.0
20221109:1430,0.0,0.0,0.0,4.02,2.55,0.0
20221109:1530,0.0,0.0,0.0,3.45,2.41,0.0
20221109:1630,0.0,0.0,0.0,3.02,2.34,0.0
20221109:1730,0.0,0.0,0.0,2.71,2.14,0.0
20221109:1830,0.0,0.0,0.0,2.78,1.93,0.0
20221109:1930,0.0,0.0,0.0,3.64,2.48,0.0
20221109:2030,0.0,0.0,0.0,3.68,2.0,0.0
20221109:2130,0.0,0.0,0.0,3.87,2.41,0.0
20221109:2230,0.0,0.0,0.0,4.0,2.28,0.0
20221109:2330,0.0,0.0,-1.53,3.65,1.24,0.0
20221110:0030,22.68,39.7,9.36,3.67,1.24,0.0
20221110:0130,184.73,222.45,19.43,3.83,1.72,0.0
20221110:0230,394.57,459.85,27.92,5.25,1.86,0.0
20221110:0330,581.17,693.81,34.07,7.63,1.66,0.0
20221110:0430,663.77,814.48,37.04,9.74,1.45,0.0
20221110:0530,696.21,861.77,36.28,11.17,1.72,0.0
20221110:0630,581.83,707.65,31.95,12.25,2.07,0.0
20221110:0730,465.99,557.25,24.76,12.13,2.69,0.0
20221110:0830,238.82,292.74,15.56,12.13,2.62,0.0
20221110:0930,33.81,57.95,5.03,11.75,2.62,0.0
20221110:1030,0.0,0.0,0.0,10.54,2.62,0.0
20221110:1130,0.0,0.0,0.0,8.93,2.97,0.0
20221110:1230,0.0,0.0,0.0,7.66,2.83,0.0
20221110:1330,0.0,0.0,0.0,6.53,3.03,0.0
20221110:1430,0.0,0.0,0.0,5.2,3.24,0.0
20221110:1530,0.0,0.0,0.0,3.52,3.38,0.0
20221110:1630,0.0,0.0,0.0,2.26,2.76,0.0
20221110:1730,0.0,0.0,0.0,1.44,2.48,0.0
20221110:1830,0.0,0.0,0.0,0.82,2.62,0.0
20221110:1930,0.0,0.0,0.0,0.59,2.62,0.0
20221110:2030,0.0,0.0,0.0,0.15,2.83,0.0
20221110:2130,0.0,0.0,0.0,-0.3,2.76,0.0
20221110:2230,0.0,0.0,0.0,-0.75,2.97,0.0
20221110:2330,0.0,0.0,-1.72,-1.14,3.24,0.0
20221111:0030,14.83,28.9,9.15,-1.49,3.24,0.0
20221111:0130,40.74,60.41,19.19,-1.66,3.31,0.0
20221111:0230,122.77,149.73,27.66,-1.59,3.52,0.0
20221111:0330,135.09,162.82,33.79,-1.25,4.14,0.0
20221111:0430,138.88,167.55,36.75,-1.13,4.0,0.0
20221111:0530,147.57,177.15,36.01,-1.05,3.86,0.0
20221111:0630,169.65,199.61,31.7,-0.83,4.0,0.0
20221111:0730,107.62,134.1,24.55,-0.55,4.34,0.0
20221111:0830,29.3,47.08,15.38,-0.66,4.07,0.0
20221111:0930,5.93,16.8,4.87,-1.18,3.59,0.0
20221111:1030,0.0,0.0,0.0,-1.57,3.17,0.0
20221111:1130,0.0,0.0,0.0,-1.74,2.9,0.0
20221111:1230,0.0,0.0,0.0,-1.84,2.55,0.0
20221111:1330,0.0,0.0,0.0,-1.91,2.28,0.0
20221111:1430,0.0,0.0,0.0,-1.89,2.07,0.0
20221111:1530,0.0,0.0,0.0,-2.26,1.59,0.0
20221111:1630,0.0,0.0,0.0,-2.44,1.31,0.0
20221111:1730,0.0,0.0,0.0,-2.99,1.03,0.0
20221111:1830,0.0,0.0,0.0,-3.78,1.1,0.0
20221111:1930,0.0,0.0,0.0,-2.95,1.17,0.0
20221111:2030,0.0,0.0,0.0,-2.96,1.24,0.0
20221111:2130,0.0,0.0,0.0,-3.59,0.97,0.0
20221111:2230,0.0,0.0,0.0,-4.56,0.83,0.0
20221111:2330,0.0,0.0,-1.92,-4.79,0.62,0.0
20221112:0030,36.66,55.13,8.94,-4.86,0.48,0.0
20221112:0130,362.72,415.04,18.96,-3.35,0.0,0.0
20221112:0230,451.27,519.33,27.41,-1.51,0.34,0.0
20221112:0330,390.4,450.03,33.52,-0.18,0.83,0.0
20221112:0430,485.5,560.95,36.48,0.75,1.38,0.0
20221112:0530,459.2,530.27,35.75,1.53,1.66,0.0
20221112:0630,324.24,374.38,31.47,1.96,2.07,0.0
20221112:0730,246.52,287.91,24.34,1.77,2.14,0.0
20221112:0830,124.72,155.33,15.2,1.68,2.21,0.0
20221112:0930,32.26,52.93,4.72,1.27,2.21,0.0
20221112:1030,0.0,0.0,0.0,0.56,1.93,0.0
20221112:1130,0.0,0.0,0.0,-0.6,1.86,0.0
20221112:1230,0.0,0.0,0.0,-1.6,1.79,0.0
20221112:1330,0.0,0.0,0.0,-2.18,1.79,0.0
20221112:1430,0.0,0.0,0.0,-2.28,1.86,0.0
20221112:1530,0.0,0.0,0.0,-2.36,1.79,0.0
20221112:1630,0.0,0.0,0.0,-2.68,1.66,0.0
20221112:1730,0.0,0.0,0.0,-3.07,1.52,0.0
20221112:1830,0.0,0.0,0.0,-3.38,1.31,0.0
20221112:1930,0.0,0.0,0.0,-3.73,0.83,0.0
20221112:2030,0.0,0.0,0.0,-3.86,0.76,0.0
20221112:2130,0.0,0.0,0.0,-3.67,0.48,0.0
20221112:2230,0.0,0.0,0.0,-3.72,0.48,0.0
20221112:2330,0.0,0.0,-2.11,-3.95,0.62,0.0
20221113:0030,40.9,60.29,8.73,-3.76,0.34,0.0
20221113:0130,270.65,311.26,18.73,-2.37,0.62,0.0
20221113:0230,413.66,473.57,27.16,-0.36,1.17,0.0
20221113:0330,327.15,377.18,33.25,1.22,1.66,0.0
20221113:0430,407.7,469.29,36.21,2.07,2.28,0.0
20221113:0530,360.61,415.43,35.49,2.73,2.97,0.0
20221113:0630,349.38,402.18,31.24,3.1,3.24,0.0
20221113:0730,249.11,291.61,24.15,3.82,2.97,0.0
20221113:0830,112.05,142.05,15.04,3.44,3.03,0.0
20221113:0930,11.34,25.59,4.58,2.8,2.9,0.0
20221113:1030,0.0,0.0,0.0,1.83,2.41,0.0
20221113:1130,0.0,0.0,0.0,0.87,2.07,0.0
20221113:1230,0.0,0.0,0.0,-0.05,2.07,0.0
20221113:1330,0.0,0.0,0.0,-0.65,2.0,0.0
20221113:1430,0.0,0.0,0.0,-1.22,1.72,0.0
20221113:1530,0.0,0.0,0.0,-1.78,1.24,0.0
20221113:1630,0.0,0.0,0.0,-2.45,0.83,0.0
20221113:1730,0.0,0.0,0.0,-2.83,0.28,0.0
20221113:1830,0.0,0.0,0.0,-3.33,0.21,0.0
20221113:1930,0.0,0.0,0.0,-3.55,0.0,0.0
20221113:2030,0.0,0.0,0.0,-3.89,0.41,0.0
20221113:2130,0.0,0.0,0.0,-4.18,0.62,0.0
20221113:2230,0.0,0.0,0.0,-4.39,0.55,0.0
20221113:2330,0.0,0.0,-2.31,-4.45,0.28,0.0
20221114:0030,38.59,57.5,8.52,-4.41,0.07,0.0
20221114:0130,340.55,389.52,18.5,-2.37,0.48,0.0
20221114:0230,546.76,632.62,26.91,0.03,1.03,0.0
20221114:0330,684.39,814.93,32.99,2.07,1.03,0.0
20221114:0430,723.71,880.52,35.94,3.68,0.76,0.0
20221114:0530,702.63,865.01,35.24,4.89,0.34,0.0
20221114:0630,629.56,764.27,31.01,5.74,0.55,0.0
20221114:0730,470.53,553.89,23.95,6.29,1.38,0.0
20221114:0830,301.19,357.62,14.87,6.28,1.93,0.0
20221114:0930,83.85,120.48,4.44,5.68,2.28,0.0
20221114:1030,0.0,0.0,0.0,3.95,2.07,0.0
20221114:1130,0.0,0.0,0.0,2.0,1.93,0.0
20221114:1230,0.0,0.0,0.0,-0.01,1.52,0.0
20221114:1330,0.0,0.0,0.0,-0.95,1.38,0.0
20221114:1430,0.0,0.0,0.0,-1.61,1.45,0.0
20221114:1530,0.0,0.0,0.0,-1.8,1.31,0.0
20221114:1630,0.0,0.0,0.0,-1.63,1.1,0.0
20221114:1730,0.0,0.0,0.0,-1.54,0.97,0.0
20221114:1830,0.0,0.0,0.0,-1.57,0.9,0.0
20221114:1930,0.0,0.0,0.0,-2.55,1.45,0.0
20221114:2030,0.0,0.0,0.0,-3.48,1.66,0.0
20221114:2130,0.0,0.0,0.0,-3.3,1.52,0.0
20221114:2230,0.0,0.0,0.0,-3.53,1.52,0.0
20221114:2330,0.0,0.0,-2.5,-3.6,1.45,0.0
20221115:0030,35.72,54.26,8.31,-3.57,1.31,0.0
20221115:0130,205.52,240.4,18.28,-1.56,1.17,0.0
20221115:0230,551.47,636.87,26.66,0.63,1.45,0.0
20221115:0330,493.66,572.72,32.73,2.87,1.72,0.0
20221115:0430,517.52,607.55,35.68,3.94,1.45,0.0
20221115:0530,619.14,738.26,34.99,4.88,1.31,0.0
20221115:0630,688.36,830.84,30.79,5.91,1.38,0.0
20221115:0730,548.75,651.02,23.77,6.21,1.38,0.0
20221115:0830,237.14,285.2,14.72,6.59,1.59,0.0
20221115:0930,52.15,81.32,4.31,6.04,1.66,0.0
20221115:1030,0.0,0.0,0.0,4.72,1.24,0.0
20221115:1130,0.0,0.0,0.0,2.57,1.38,0.0
20221115:1230,0.0,0.0,0.0,1.61,1.31,0.0
